24015KAKO AKO2019032916312331    0.050  D                               53   10   47   12                       
24015KAKO AKO2019032916322332    0.050  D                               53    9   57   11                       
24015KAKO AKO2019032916332333    0.050  D                               52    9   50   11                       
24015KAKO AKO2019032916342334    0.050  D                               54    8   50    9                       
24015KAKO AKO2019032916352335    0.050  D                               57    7   55    8                       
24015KAKO AKO2019032916362336    0.050  D                               52    8   50   11                       
24015KAKO AKO2019032916372337    0.050  D                               46    8   52   11                       
24015KAKO AKO2019032916382338    0.050  D                               44    9   39   12                       
24015KAKO AKO2019032916392339    0.050  D                               44    9   41   12                       
24015KAKO AKO2019032916402340    0.050  D                               45   10   46   12                       
24015KAKO AKO2019032916412341    0.050  D                               46   10   43   12                       
24015KAKO AKO2019032916422342    0.050  D                               45    9   60   11                       
24015KAKO AKO2019032916432343    0.050  D                               44    8   42   11                       
24015KAKO AKO2019032916442344    0.054  D                               43    8   51   11                       
24015KAKO AKO2019032916452345    0.087  D                               43    8   41   10                       
24015KAKO AKO2019032916462346    0.155  D                               44    8   50   10                       
24015KAKO AKO2019032916472347    0.208  D                               49    8   56   10                       
24015KAKO AKO2019032916482348    0.233  D                               52    8   54   10                       
24015KAKO AKO2019032916492349    0.303  D                               50    9   48   12                       
24015KAKO AKO2019032916502350    0.621  D                               43   10   32   12                       
24015KAKO AKO2019032916512351    0.789  D                               34    9   26   11                       
24015KAKO AKO2019032916522352    0.759  D                               31   10   28   12                       
24015KAKO AKO2019032916532353    0.787  D                               31   10   21   11                       
24015KAKO AKO2019032916542354    0.873  D                               33   10   35   13                       
24015KAKO AKO2019032916552355    0.580  D                               35   10   36   12                       
24015KAKO AKO2019032916562356    0.427  D                               35   10   31   12                       
24015KAKO AKO2019032916572357    0.313  D                               32    9   29   11                       
24015KAKO AKO2019032916582358    0.255  D                               30    9   46   12                       
24015KAKO AKO2019032916592359    0.301  D                               32   10   37   12                       
24015KAKO AKO2019032917000000    0.361  D                               36   10   30   13                       
24015KAKO AKO2019032917010001    0.397  D                               40    9   41   13                       
24015KAKO AKO2019032917020002    0.503  D                               42   10   45   12                       
24015KAKO AKO2019032917030003    0.548  D                               41   10   36   12                       
24015KAKO AKO2019032917040004    0.521  D                               36   10   30   12                       
24015KAKO AKO2019032917050005    0.539  D                               31    9   29   12                       
24015KAKO AKO2019032917060006    0.743  D                               30    9   31   12                       
24015KAKO AKO2019032917070007    0.860  D                               33    9   44   11                       
24015KAKO AKO2019032917080008    0.961  D                               36    9   46   12                       
24015KAKO AKO2019032917090009    1.178  D                               36    9   41   12                       
24015KAKO AKO2019032917100010    1.392  D                               38   10   38   12                       
24015KAKO AKO2019032917110011    1.567  D                               36    8   43   11                       
24015KAKO AKO2019032917120012    1.842  D                               35    8   37   10                       
24015KAKO AKO2019032917130013    2.304  D                               37    9   39   12                       
24015KAKO AKO2019032917140014    2.371  D                               36   10   16   13                       
24015KAKO AKO2019032917150015    2.509  D                               36   10   39   14                       
24015KAKO AKO2019032917160016    2.310  D                               34   10   34   13                       
24015KAKO AKO2019032917170017    2.323  D                               34   11   50   15                       
24015KAKO AKO2019032917180018    2.203  D                               37   11   35   15                       
24015KAKO AKO2019032917190019    2.217  D                               37   11   35   15                       
24015KAKO AKO2019032917200020    2.219  D                               37   11   38   15                       
24015KAKO AKO2019032917210021    2.069  D                               37   11   27   15                       
24015KAKO AKO2019032917220022    1.524  D                               36   11   35   14                       
24015KAKO AKO2019032917230023    1.115  D                               33   11   38   13                       
24015KAKO AKO2019032917240024    0.791  D                               30   11   27   13                       
24015KAKO AKO2019032917250025    0.619  D                               29   11   27   13                       
24015KAKO AKO2019032917260026    0.492  D                               28   10   28   12                       
24015KAKO AKO2019032917270027    0.373  D                               29    9   36   11                       
24015KAKO AKO2019032917280028    0.340  D                               29    9   27   11                       
24015KAKO AKO2019032917290029    0.376  D                               26    8   23   10                       
24015KAKO AKO2019032917300030    0.369  D                               23    8   24   10                       
24015KAKO AKO2019032917310031    0.422  D                               23    8   30   11                       
24015KAKO AKO2019032917320032    0.390  D                               26   10   35   12                       
24015KAKO AKO2019032917330033    0.370  D                               26   10   28   12                       
24015KAKO AKO2019032917340034    0.293  D                               23    9   22   12                       
24015KAKO AKO2019032917350035    0.313  D                               21    9   23   11                       
24015KAKO AKO2019032917360036    0.351  D                               23    9   19   11                       
24015KAKO AKO2019032917370037    0.373  D                               25    9   29   11                       
24015KAKO AKO2019032917380038    0.371  D                               24    9   29    9                       
24015KAKO AKO2019032917390039    0.435  D                               21    8   17   10                       
24015KAKO AKO2019032917400040    0.435  D                               21    8   24   10                       
24015KAKO AKO2019032917410041    0.496  D                               21    9   20   10                       
24015KAKO AKO2019032917420042    0.500  D                               21    9   21   11                       
24015KAKO AKO2019032917430043    0.731  D                               24   10   24   12                       
24015KAKO AKO2019032917440044    1.205  D                               27    9   23   10                       
24015KAKO AKO2019032917450045    1.066  D                               27    9   24   11                       
24015KAKO AKO2019032917460046    0.858  D                               25    9   20   11                       
24015KAKO AKO2019032917470047    0.974  D                               26    9   33   12                       
24015KAKO AKO2019032917480048    0.975  D                               30    9   45   11                       
24015KAKO AKO2019032917490049    0.671  D                               33    9   36   11                       
24015KAKO AKO2019032917500050    0.514  D                               33   10   31   13                       
24015KAKO AKO2019032917510051    0.271  D                               31   10   35   12                       
24015KAKO AKO2019032917520052    0.175  D                               29    9   28   11                       
24015KAKO AKO2019032917530053    0.133  D                               28    9   25   12                       
24015KAKO AKO2019032917540054    0.111  D                               27   10   28   12                       
24015KAKO AKO2019032917550055    0.097  D                               26   10   34   13                       
24015KAKO AKO2019032917560056    0.101  D                               27   11   22   13                       
24015KAKO AKO2019032917570057    0.113  D                               29   11   26   13                       
24015KAKO AKO2019032917580058    0.131  D                               28   11   28   12                       
24015KAKO AKO2019032917590059    0.136  D                               27   10   22   12                       
24015KAKO AKO2019032918000100    0.144  D                               25   10   23   12                       
24015KAKO AKO2019032918010101    0.145  D                               26    9   31   12                       
24015KAKO AKO2019032918020102    0.170  D                               27    9   36   11                       
24015KAKO AKO2019032918030103    0.186  D                               26    9   23   12                       
24015KAKO AKO2019032918040104    0.194  D                               28    9   28   13                       
24015KAKO AKO2019032918050105    0.211  D                               29   10   25   12                       
24015KAKO AKO2019032918060106    0.236  D                               29   10   33   12                       
24015KAKO AKO2019032918070107    0.271  D                               29   10   22   13                       
24015KAKO AKO2019032918080108    0.436  D                               28   10   30   13                       
24015KAKO AKO2019032918090109    0.490  D                               30   11   26   14                       
24015KAKO AKO2019032918100110    0.544  D                               30   11   35   15                       
24015KAKO AKO2019032918110111    0.537  D                               30   11   26   14                       
24015KAKO AKO2019032918120112    0.494  N                               31   11   20   13                       
24015KAKO AKO2019032918130113    0.456  N                               31   10   37   11                       
24015KAKO AKO2019032918140114    0.405  N                               29   10   29   12                       
24015KAKO AKO2019032918150115    0.327  N                               31   10   33   11                       
24015KAKO AKO2019032918160116    0.264  N                               32    9   32   11                       
24015KAKO AKO2019032918170117    0.254  N                               30    9   32   10                       
24015KAKO AKO2019032918180118    0.212  N                               28   10   38   14                       
24015KAKO AKO2019032918190119    0.191  N                               27   11   25   13                       
24015KAKO AKO2019032918200120    0.187  N                               28   11   28   13                       
24015KAKO AKO2019032918210121    0.204  N                               29   10   27   13                       
24015KAKO AKO2019032918220122    0.211  N                               29   11   36   15                       
24015KAKO AKO2019032918230123    0.195  N                               32   12   31   15                       
24015KAKO AKO2019032918240124    0.180  N                               31   11   28   13                       
24015KAKO AKO2019032918250125    0.171  N                               28   10   29   11                       
24015KAKO AKO2019032918260126    0.158  N                               28   10   26   13                       
24015KAKO AKO2019032918270127    0.142  N                               28   11   29   13                       
24015KAKO AKO2019032918280128    0.133  N                               28   11   24   13                       
24015KAKO AKO2019032918290129    0.132  N                               28   10   25   12                       
24015KAKO AKO2019032918300130    0.131  N                               26   10   25   13                       
24015KAKO AKO2019032918310131    0.132  N                               25   11   24   13                       
24015KAKO AKO2019032918320132    0.140  N                               24   10   35   11                       
24015KAKO AKO2019032918330133    0.144  N                               23   10   27   13                       
24015KAKO AKO2019032918340134    0.157  N                               21   12   19   15                       
24015KAKO AKO2019032918350135    0.154  N                               20   12   22   14                       
24015KAKO AKO2019032918360136    0.156  N                               22   11   26   13                       
24015KAKO AKO2019032918370137    0.165  N                               22   10   21   14                       
24015KAKO AKO2019032918380138    0.163  N                               21   11   25   14                       
24015KAKO AKO2019032918390139    0.159  N                               19   11   13   13                       
24015KAKO AKO2019032918400140    0.158  N                               19   10   22   13                       
24015KAKO AKO2019032918410141    0.153  N                               19   11   16   15                       
24015KAKO AKO2019032918420142    0.154  N                               18   12   13   14                       
24015KAKO AKO2019032918430143    0.160  N                               19   11   15   12                       
24015KAKO AKO2019032918440144    0.164  N                               21   10   21   13                       
24015KAKO AKO2019032918450145    0.163  N                               23   11   24   15                       
24015KAKO AKO2019032918460146    0.158  N                               23   13   19   15                       
24015KAKO AKO2019032918470147    0.161  N                               24   13   24   15                       
24015KAKO AKO2019032918480148    0.169  N                               23   12   24   14                       
24015KAKO AKO2019032918490149    0.172  N                               16   11    8   15                       
24015KAKO AKO2019032918500150    0.178  N                               14   10    7   12                       
24015KAKO AKO2019032918510151    0.188  N                               18   10   21   13                       
24015KAKO AKO2019032918520152    0.190  N                               19   11   19   13                       
24015KAKO AKO2019032918530153    0.201  N                               16   11   15   13                       
24015KAKO AKO2019032918540154    0.182  N                               14   11   12   14                       
24015KAKO AKO2019032918550155    0.172  N                               13   11    8   14                       
24015KAKO AKO2019032918560156    0.178  N                               15   10   25   13                       
24015KAKO AKO2019032918570157    0.181  N                               21   10   17   14                       
24015KAKO AKO2019032918580158    0.181  N                               22   11   28   14                       
24015KAKO AKO2019032918590159    0.185  N                               22   11   17   13                       
24015KAKO AKO2019032919000200    0.201  N                               22   12   19   17                       
24015KAKO AKO2019032919010201    0.196  N                               21   13   19   17                       
24015KAKO AKO2019032919020202    0.195  N                               19   13   23   14                       
24015KAKO AKO2019032919030203    0.223  N                               15   11    9   15                       
24015KAKO AKO2019032919040204    0.223  N                               12   12   10   16                       
24015KAKO AKO2019032919050205    0.215  N                               10   13   13   15                       
24015KAKO AKO2019032919060206    0.210  N                               11   12   11   14                       
24015KAKO AKO2019032919070207    0.209  N                                9   12  355   16                       
