                                                                   123456 1234  123  1234
24015KAKO AKO2019022712511951    0.101  D                               M    M   139    5                           10001100000
24015KAKO AKO2019033112201920    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033112211921    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033112221922    0.050  D                               M    M   234   12                           10001100000
24015KAKO AKO2019033112231923    0.050  D                               M    M   234   12                           10001100000
24015KAKO AKO2019033112281928    0.053  D                               M    M   284   10                           10001100000
24015KAKO AKO2019033112291929    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033112301930    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033112311931    0.050  D                               M    M   228   11                           10001100000
24015KAKO AKO2019033113232023    0.051  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033113242024    0.050  D                               M    M   221    7                           10001100000
24015KAKO AKO2019033113252025    0.050  D                               M    M   225    9                           10001100000
24015KAKO AKO2019033114182118    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033114192119    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033114202120    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033114212121    0.050  D                               M    M   254    8                           10001100000
24015KAKO AKO2019033114442144    0.050  D                               M    M   204    6                           10001100000
24015KAKO AKO2019033114452145    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033114462146    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019033114472147    0.050  D                               M    M   175    8                           10001100000
24015KAKO AKO2019040210221722    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040210231723    0.051  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040210241724    0.053  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040210251725    0.050  D                               M    M   153    8                           10001100000
24015KAKO AKO2019040210591759    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040211001800    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040211021802    0.050  D                               M    M   205    7                           10001100000
24015KAKO AKO2019040211031803    0.050  D                               M    M   230    6                           10001100000
24015KAKO AKO2019040410391739    0.054  D                               M    M   227    5                           10001100000
24015KAKO AKO2019040410401740    0.054  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040410411741    0.055  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040410421742    0.060  D                               M    M   229    6                           10001100000
24015KAKO AKO2019040410431743    0.055  D                               M    M   243    7                           10001100000
24015KAKO AKO2019040410531753    0.059  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040410541754    0.070  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040410551755    0.070  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040410561756    0.068  D                               M    M   262   10                           10001100000
24015KAKO AKO2019040411021802    0.063  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040411031803    0.055  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040411041804    0.052  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040411051805    0.055  D                               M    M   238    6                           10001100000
24015KAKO AKO2019040411141814    0.052  D                               M    M   253    7                           10001100000
24015KAKO AKO2019040411151815    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040411161816    0.052  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040411171817    0.051  D                               M    M   273   13                           10001100000
24015KAKO AKO2019040411181818    0.050  D                               M    M   273   10                           10001100000
24015KAKO AKO2019040413102010    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040413112011    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040413122012    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040413132013    0.050  D                               M    M   252   11                           10001100000
24015KAKO AKO2019040416382338    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040416392339    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040416402340    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040416412341    0.050  D                               M    M   247   10                           10001100000
24015KAKO AKO2019040511451845    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040511461846    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040511471847    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040511481848    0.050  D                               M    M    36    6                           10001100000
24015KAKO AKO2019040512021902    0.050  D                               M    M    26    7                           10001100000
24015KAKO AKO2019040512031903    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040512041904    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040512051905    0.050  D                               M    M   333    7                           10001100000
24015KAKO AKO2019040512061906    0.050  D                               M    M   341    7                           10001100000
24015KAKO AKO2019040512581958    0.050  D                               M    M   113    6                           10001100000
24015KAKO AKO2019040512591959    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040513002000    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040513162016    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040513172017    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040513182018    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040513192019    0.050  D                               M    M   347    7                           10001100000
24015KAKO AKO2019040514362136    0.050  D                               M    M    76    6                           10001100000
24015KAKO AKO2019040514372137    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040514382138    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040514392139    0.050  D                               M    M   127    7                           10001100000
24015KAKO AKO2019040514402140    0.050  D                               M    M   110    9                           10001100000
24015KAKO AKO2019040523020602    0.050  N                               M    M   311   10                           10001100000
24015KAKO AKO2019040523030603    0.050  N                               M    M    M    M                            10001111000
24015KAKO AKO2019040523040604    0.050  N                               M    M    M    M                            10001111000
24015KAKO AKO2019040523050605    0.050  N                               M    M   335   11                           10001100000
24015KAKO AKO2019040523060606    0.050  N                               M    M   320   13                           10001100000
24015KAKO AKO2019040611501850    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040611511851    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040611521852    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040611531853    0.050  D                               M    M   320   12                           10001100000
24015KAKO AKO2019040612311931    0.050  D                               M    M   285    7                           10001100000
24015KAKO AKO2019040612321932    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040612331933    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040612341934    0.050  D                               M    M   356    8                           10001100000
24015KAKO AKO2019040612351935    0.050  D                               M    M   352    8                           10001100000
24015KAKO AKO2019040613212021    0.050  D                               M    M   315    5                           10001100000
24015KAKO AKO2019040613222022    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040613232023    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040613242024    0.050  D                               M    M   317   13                           10001100000
24015KAKO AKO2019040613252025    0.050  D                               M    M   317   14                           10001100000
24015KAKO AKO2019040614352135    0.050  D                               M    M   304   10                           10001100000
24015KAKO AKO2019040614362136    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040614372137    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040614382138    0.050  D                               M    M   297   14                           10001100000
24015KAKO AKO2019040615022202    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040615032203    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040615042204    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040615052205    0.050  D                               M    M   268    9                           10001100000
24015KAKO AKO2019040712171917    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040712181918    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040712191919    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040712201920    0.050  D                               M    M   327   14                           10001100000
24015KAKO AKO2019040713332033    0.050  D                               M    M   316    3                           10001100000
24015KAKO AKO2019040713342034    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713352035    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713362036    0.050  D                               M    M   358    6                           10001100000
24015KAKO AKO2019040713372037    0.050  D                               M    M   350    9                           10001100000
24015KAKO AKO2019040713422042    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713432043    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713442044    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713452045    0.050  D                               M    M   299    7                           10001100000
24015KAKO AKO2019040713542054    0.050  D                               M    M    59    5                           10001100000
24015KAKO AKO2019040713552055    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713562056    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040713572057    0.050  D                               M    M   264   16                           10001100000
24015KAKO AKO2019040713582058    0.050  D                               M    M   245   10                           10001100000
24015KAKO AKO2019040714352135    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040714362136    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040714372137    0.050  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040714382138    0.050  D                               M    M   343    5                           10001100000
24015KAKO AKO2019040714392139    0.050  D                               M    M   358    6                           10001100000
24015KAKO AKO2019040813452045    0.050  D                               M    M   298    4                           10001100000
24015KAKO AKO2019040813462046    0.052  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040813472047    0.053  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040813482048    0.052  D                               M    M   283   10                           10001100000
24015KAKO AKO2019040813492049    0.057  D                               M    M   327   13                           10001100000
24015KAKO AKO2019040814272127    0.059  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040814282128    0.066  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040814292129    0.062  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040814302130    0.050  D                               M    M   305   10                           10001100000
24015KAKO AKO2019040815452245    0.058  D                               M    M   289   12                           10001100000
24015KAKO AKO2019040815462246    0.059  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040815472247    0.058  D                               M    M    M    M                            10001111000
24015KAKO AKO2019040815482248    0.056  D                               M    M   299   13                           10001100000
24015KAKO AKO2019041101290829      M    M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101300830  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101310831  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101320832  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101330833  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101340834  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101350835  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101360836  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101370837  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101380838  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101390839  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101400840  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101410841  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101420842  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101430843  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101440844  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101450845  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101460846  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101470847  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101480848  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101490849  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101500850  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041101510851  [   M  ] M                               M    M    M    M                            10001111000
