date(yyyymmdd),hour,minute,5-min dir,5-min speed
20190301,15,40, 20,  7.65
20190301,15,45, 23,  8.67
20190301,15,50, 31,  5.61
20190301,15,55, 22,  6.12
20190301,15,60, 33,  7.65
20190301,16, 5, 30,  5.61
20190301,16,10, 27,  6.12
20190301,16,15, 27,  6.12
20190301,16,20, 41,  6.12
20190301,16,25, 28,  6.63
20190301,16,30, 47,  6.12
20190301,16,35, 41,  5.61
20190301,16,40, 40,  6.63
20190301,16,45, 47,  4.59
20190301,16,50, 42,  4.08
20190301,16,55, 63,  5.10
20190301,16,60, 78,  4.59
20190301,17, 5, 83,  4.08
20190301,17,10, 87,  4.08
20190301,17,15, 73,  5.10
20190301,17,20, 76,  7.14
20190301,17,25, 84,  8.67
20190301,17,30, 82,  7.14
20190301,17,35, 80,  6.12
20190301,17,40, 87,  6.12
20190301,17,45, 94,  6.12
20190301,17,50, 97,  6.63
20190301,17,55,102,  6.12
20190301,17,60,104,  6.12
20190301,18, 5, 96,  5.61
20190301,18,10, 94,  5.61
20190301,18,15,100,  5.10
20190301,18,20, 99,  5.61
20190301,18,25,113,  6.12
20190301,18,30,106,  5.10
20190301,18,35,112,  5.10
20190301,18,40,107,  4.59
20190301,18,45,108,  5.10
20190301,18,50,109,  5.61
20190301,18,55,104,  5.10
20190301,18,60,109,  5.61
20190301,19, 5,109,  5.10
20190301,19,10,112,  5.61
20190301,19,15,113,  4.59
20190301,19,20,113,  5.10
20190301,19,25,108,  4.08
20190301,19,30,107,  4.59
20190301,19,35,114,  4.59
20190301,19,40,114,  5.10
20190301,19,45,111,  5.10
20190301,19,50,119,  5.10
20190301,19,55,121,  6.12
20190301,19,60,107,  5.61
20190301,20, 5,111,  4.59
20190301,20,10,120,  5.10
20190301,20,15,110,  4.59
20190301,20,20,117,  5.61
20190301,20,25,117,  5.61
20190301,20,30,130,  5.61
20190301,20,35,116,  5.61
20190301,20,40,134,  5.61
20190301,20,45,124,  5.61
20190301,20,50,130,  6.12
20190301,20,55,133,  5.61
20190301,20,60,132,  6.63
20190301,21, 5,133,  6.63
20190301,21,10,130,  7.65
20190301,21,15,127,  7.14
20190301,21,20,131,  8.16
20190301,21,25,133,  7.14
20190301,21,30,126,  7.14
20190301,21,35,144,  6.63
20190301,21,40,142,  6.12
20190301,21,45,142,  6.63
20190301,21,50,136,  6.63
20190301,21,55,142,  7.14
20190301,21,60,138,  6.63
20190301,22, 5,137,  6.12
20190301,22,10,138,  6.12
20190301,22,15,132,  6.12
20190301,22,20,144,  6.12
20190301,22,25,142,  5.61
20190301,22,30,139,  7.14
20190301,22,35,136,  7.65
20190301,22,40,131,  6.12
20190301,22,45,126,  7.14
20190301,22,50,127,  6.63
20190301,22,55,143,  6.63
20190301,22,60,143,  5.61
20190301,23, 5,144,  7.14
20190301,23,10,131,  5.61
20190301,23,15,132,  6.63
20190301,23,20,133,  7.14
20190301,23,25,131,  9.18
20190301,23,30,128,  7.65
20190301,23,35,144,  6.63
20190301,23,40,130,  8.16
20190301,23,45,134,  6.63
20190301,23,50,143,  7.65
20190301,23,55,133,  7.65
20190301,23,60,126,  8.16
20190301,24, 5,129,  9.18
20190301,24,10,134,  8.67
20190301,24,15,141,  7.65
20190301,24,20,128,  6.63
20190301,24,25,127,  7.14
20190301,24,30,126,  6.63
20190301,24,35,134,  7.65
20190301,24,40,129,  7.14
20190301,24,45,127,  8.16
20190301,24,50,132,  8.67
20190301,24,55,127,  7.65
20190301,24,60,126,  8.67
20190302, 1, 5,140,  7.65
20190302, 1,10,144,  8.67
20190302, 1,15,142,  7.65
20190302, 1,20,144,  7.65
20190302, 1,25,138,  9.18
20190302, 1,30,138,  8.16
20190302, 1,35,133,  8.16
20190302, 1,40,127,  8.16
20190302, 1,45,134,  8.16
20190302, 1,50,126,  9.18
20190302, 1,55,126,  8.16
20190302, 1,60,128,  8.16
20190302, 2, 5,132,  8.16
20190302, 2,10,132,  8.16
20190302, 2,15,129,  8.16
20190302, 2,20,128,  8.16
20190302, 2,25,128,  8.67
20190302, 2,30,141,  9.18
20190302, 2,35,136,  9.69
20190302, 2,40,127,  9.18
20190302, 2,45,138,  9.18
20190302, 2,50,127,  9.69
20190302, 2,55,127, 10.71
20190302, 2,60,143,  9.69
