24015KAKO AKO20190105225013501/05/19 22:50:31  5-MIN KAKO 060550Z AUTO 00000KT 10SM CLR 01/M04 A2988 4750 66 4300 000/00 RMK AO2 SLP118 T00111044 10072 20011 58004                                     
24015KAKO AKO20190105230511001/05/19 23:05:31  5-MIN KAKO 060605Z AUTO 00000KT 10SM CLR 01/M04 A2988 4760 69 4300 000/00 RMK AO2 T00111039                                                              
24015KAKO AKO20190105231011001/05/19 23:10:31  5-MIN KAKO 060610Z AUTO 00000KT 10SM CLR 01/M04 A2987 4760 69 4200 000/00 RMK AO2 T00061044                                                              
24015KAKO AKO20190105232011001/05/19 23:20:31  5-MIN KAKO 060620Z AUTO 00000KT 10SM CLR 00/M04 A2987 4770 72 4100 000/00 RMK AO2 T00001044                                                              
24015KAKO AKO20190105232511001/05/19 23:25:31  5-MIN KAKO 060625Z AUTO 00000KT 10SM CLR 01/M04 A2987 4760 69 4200 000/00 RMK AO2 T00061044                                                              
24015KAKO AKO20190105235012701/05/19 23:50:31  5-MIN KAKO 060650Z AUTO 00000KT 10SM CLR 01/M04 A2986 4780 69 4300 000/00 RMK AO2 SLP102 T00111039 401501017                                             
24015KAKO AKO20190105235511001/05/19 23:55:31  5-MIN KAKO 060655Z AUTO 00000KT 10SM CLR 01/M04 A2986 4780 69 4300 000/00 RMK AO2 T00111039                                                              
24015KAKO AKO20190106000511301/06/19 00:05:31  5-MIN KAKO 060705Z AUTO 00000KT 10SM FEW120 01/M04 A2985 4780 72 4200 000/00 RMK AO2 T00061039                                                           
24015KAKO AKO20190106001511301/06/19 00:15:31  5-MIN KAKO 060715Z AUTO 00000KT 10SM SCT120 01/M04 A2985 4790 72 4200 000/00 RMK AO2 T00061039                                                           
24015KAKO AKO20190106003511301/06/19 00:35:31  5-MIN KAKO 060735Z AUTO 00000KT 10SM SCT110 01/M04 A2984 4790 69 4300 000/00 RMK AO2 T00111039                                                           
24015KAKO AKO20190106005011701/06/19 00:50:31  5-MIN KAKO 060750Z AUTO 00000KT 10SM CLR 01/M04 A2983 4800 69 4300 000/00 RMK AO2 SLP091 T00111039                                                       
24015KAKO AKO20190106005511001/06/19 00:55:31  5-MIN KAKO 060755Z AUTO 00000KT 10SM CLR 01/M04 A2983 4800 69 4300 000/00 RMK AO2 T00111039                                                              
