AERMINUTE Version 15272  WBAN: 24015    Call sign: KAKO    IFW: N 5-MIN USED: Y
19  1  1  1   4.03 333.0
19  1  1  2   5.24 348.0
19  1  1  3   3.98 353.0
19  1  1  4   3.30 354.0
19  1  1  5   3.04 358.0
19  1  1  6   3.04 359.0
19  1  1  7   2.04 355.0
19  1  1  8   1.51 337.0
19  1  1  9   1.62 197.0
19  1  1 10   2.79 170.0
19  1  1 11   2.72 174.0
19  1  1 12   2.93 187.0
19  1  1 13   2.77 171.0
19  1  1 14   2.38 159.0
19  1  1 15   2.26 154.0
19  1  1 16   2.52 168.0
19  1  1 17   2.57 160.0
19  1  1 18   2.07 237.0
19  1  1 19   1.60 223.0
19  1  1 20   3.18 260.0
19  1  1 21   4.54 275.0
19  1  1 22   5.17 260.0
19  1  1 23   5.73 238.0
19  1  1 24   7.41 248.0
19  1  2  1   6.99 251.0
19  1  2  2   7.77 257.0
19  1  2  3   8.06 269.0
19  1  2  4   8.02 265.0
19  1  2  5   7.70 261.0
19  1  2  6   7.87 261.0
19  1  2  7   7.56 258.0
19  1  2  8   7.58 264.0
19  1  2  9   7.68 272.0
19  1  2 10   7.62 271.0
19  1  2 11   6.70 269.0
19  1  2 12   6.94 271.0
19  1  2 13   6.41 260.0
19  1  2 14   5.83 268.0
19  1  2 15   5.17 286.0
19  1  2 16   4.30 275.0
19  1  2 17   4.28 278.0
19  1  2 18   4.30 266.0
19  1  2 19   3.35 244.0
19  1  2 20   4.13 241.0
19  1  2 21   3.43 274.0
19  1  2 22   3.31 302.0
19  1  2 23   3.84 287.0
19  1  2 24   5.68 261.0
19  1  3  1   5.81 260.0
19  1  3  2   5.71 257.0
19  1  3  3   5.75 260.0
19  1  3  4   6.65 262.0
19  1  3  5   3.67 258.0
19  1  3  6   5.95 251.0
19  1  3  7   6.43 246.0
19  1  3  8   6.05 239.0
19  1  3  9   6.27 238.0
19  1  3 10   6.85 240.0
19  1  3 11   6.61 249.0
19  1  3 12   5.71 254.0
19  1  3 13   5.42 261.0
19  1  3 14   4.86 267.0
19  1  3 15   4.49 272.0
19  1  3 16   3.47 266.0
19  1  3 17   3.30 256.0
19  1  3 18   4.05 270.0
19  1  3 19   3.89 286.0
19  1  3 20   4.13 297.0
19  1  3 21   4.52 326.0
19  1  3 22   3.21 272.0
19  1  3 23   2.91 225.0
19  1  3 24   3.47 219.0
19  1  4  1   4.01 221.0
19  1  4  2   5.53 227.0
19  1  4  3   4.34 237.0
19  1  4  4   4.66 244.0
19  1  4  5   4.79 268.0
19  1  4  6   5.66 270.0
19  1  4  7   5.44 269.0
19  1  4  8   5.13 265.0
19  1  4  9   5.56 267.0
19  1  4 10   6.36 266.0
19  1  4 11   5.15 263.0
19  1  4 12   3.66 263.0
19  1  4 13   3.62 278.0
19  1  4 14   3.48 291.0
19  1  4 15   2.89 253.0
19  1  4 16   3.16 239.0
19  1  4 17   2.14 229.0
19  1  4 18   2.92 199.0
19  1  4 19   2.24 191.0
19  1  4 20   3.72 183.0
19  1  4 21   4.57 196.0
19  1  4 22   4.64 195.0
19  1  4 23   4.30 196.0
19  1  4 24   5.00 203.0
19  1  5  1   6.41 213.0
19  1  5  2   5.93 229.0
19  1  5  3   6.19 240.0
19  1  5  4   6.65 255.0
19  1  5  5   3.99 248.0
19  1  5  6   5.68 265.0
19  1  5  7   5.00 262.0
19  1  5  8   5.92 276.0
19  1  5  9   4.91 261.0
19  1  5 10   4.61 283.0
19  1  5 11   2.57 342.0
19  1  5 12   4.71  65.0
19  1  5 13   5.10  63.0
19  1  5 14   5.17  72.0
19  1  5 15   5.69  73.0
19  1  5 16   3.88  76.0
19  1  5 17   4.27  68.0
19  1  5 18   4.22  75.0
19  1  5 19   4.13  87.0
19  1  5 20   4.35  93.0
19  1  5 21   3.35 100.0
19  1  5 22   2.29  91.0
19  1  5 23   2.36 108.0
19  1  5 24   1.48  98.0
19  1  6  1   1.43 139.0
19  1  6  2   2.02  87.0
19  1  6  3   1.75 108.0
19  1  6  4   1.77 222.0
19  1  6  5   1.84  37.0
19  1  6  6   1.29  67.0
19  1  6  7   0.00   0.0
19  1  6  8   1.82 245.0
19  1  6  9   3.72 268.0
19  1  6 10   3.57 287.0
19  1  6 11   3.47 274.0
19  1  6 12   4.59 272.0
19  1  6 13   5.07 265.0
19  1  6 14   3.84 251.0
19  1  6 15   2.96 246.0
19  1  6 16   1.50 206.0
19  1  6 17   1.41 177.0
19  1  6 18   1.75 195.0
19  1  6 19   2.94 186.0
19  1  6 20   2.46 234.0
19  1  6 21   5.47 296.0
19  1  6 22   3.79 283.0
19  1  6 23   5.83 292.0
19  1  6 24   6.97 295.0
19  1  7  1   5.92 281.0
19  1  7  2   4.64 285.0
19  1  7  3   5.05 277.0
19  1  7  4   4.62 283.0
19  1  7  5   5.25 277.0
19  1  7  6   5.37 304.0
19  1  7  7   5.22 276.0
19  1  7  8   3.89 218.0
19  1  7  9   4.37 203.0
19  1  7 10   4.28 194.0
19  1  7 11   4.25 214.0
19  1  7 12   7.33 222.0
19  1  7 13   8.45 268.0
19  1  7 14   7.55 293.0
19  1  7 15   8.33 298.0
19  1  7 16   6.44 295.0
19  1  7 17   3.18 273.0
19  1  7 18   4.35 270.0
19  1  7 19   5.47 303.0
19  1  7 20   5.90 332.0
19  1  7 21  10.51 335.0
19  1  7 22  12.34 336.0
19  1  7 23  11.68 337.0
19  1  7 24  10.86 343.0
19  1  8  1   9.89 347.0
19  1  8  2   7.22 352.0
19  1  8  3   7.21 351.0
